,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
122,123,122,언스크립티드 :부의 추월차선 완결판 ,엠제이 드마코 지음 ;안시열 옮김,토트,2018,9791187444213,13320,,325.211,사회과학 > 경제학 > 경영관리,102,http://image.aladin.co.kr/product/12926/54/cover/k702532384_1.jpg,https://data4library.kr/bookV?seq=3690012
123,124,122,우리가 우리를 우리라고 부를 때 :N번방 추적기와 우리의 이야기 ,추적단 불꽃 지음,이봄,2020,9791190582353,03300,,334.223,"사회과학 > 사회학, 사회문제 > 사회문제",102,https://image.aladin.co.kr/product/25217/36/cover/k862633809_1.jpg,https://data4library.kr/bookV?seq=5772841
124,125,125,어디서 살 것인가우리가 살고 싶은 곳의 기준을 바꾸다,유현준 지음,부산일보사,2018,9788932473802,03540,,540.04,기술과학 > 건축공학 > 건축공학,101,http://image.aladin.co.kr/product/14799/66/cover/8932473803_1.jpg,https://data4library.kr/bookV?seq=3760231
125,126,125,위저드 베이커리 =구병모 장편소설 /Wizard bakery ,지은이: 구병모,창비,2009,9788936433697,03810,,813.7,문학 > 한국문학 > 소설,101,http://image.aladin.co.kr/product/346/0/cover/8936433695_1.jpg,https://data4library.kr/bookV?seq=2314042
126,127,125,파과 :구병모 장편소설 ,지은이: 구병모,자음과모음,2013,9788957077740,03810,,813.7,문학 > 한국문학 > 소설,101,https://bookthumb-phinf.pstatic.net/cover/072/689/07268920.jpg?type=m1&udate=20150801,https://data4library.kr/bookV?seq=1962669
127,128,128,2030 축의 전환 :새로운 부와 힘을 탄생시킬 8가지 거대한 물결 ,마우로 기옌 지음 ;우진하 옮김,웅진씽크빅,2020,9788901246086,03320,,321.97,사회과학 > 경제학 > 경제각론,100,https://image.aladin.co.kr/product/25383/33/cover/8901246082_1.jpg,https://data4library.kr/bookV?seq=5784128
128,129,128,그녀는 다 계획이 있다 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,대원씨아이,2021,9791136264473,03830,,833.6,문학 > 일본문학 > 소설,100,https://image.aladin.co.kr/product/26427/0/cover/k182738525_1.jpg,https://data4library.kr/bookV?seq=5918285
129,130,130,"스물아홉 생일, 1년 후 죽기로 결심했다 ",하야마 아마리 지음 ;장은주 옮김,위즈덤하우스,2012,9788959136896,03830,,838,문학 > 일본문학 > 르포르타주 및 기타,99,http://image.aladin.co.kr/product/12354/77/cover/k612531359_1.jpg,https://data4library.kr/bookV?seq=1857068
130,131,130,존리의 금융문맹 탈출 :대한민국 경제독립 프로젝트 ,존리 지음,베가북스,2020,9791190242516,03320,,327.8,사회과학 > 경제학 > 금융,99,https://image.aladin.co.kr/product/25244/1/cover/k542633100_1.jpg,https://data4library.kr/bookV?seq=5775204
131,132,130,마음챙김의 시 ,류시화 엮음,수오서재,2020,9791190382267,03810,,808.1,"문학 > 문학 > 전집, 총서",99,https://image.aladin.co.kr/product/25108/7/cover/k842633074_1.jpg,https://data4library.kr/bookV?seq=5750685
132,133,133,상실의 시대 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 유유정,문학사상,2011,9788970123691,03830,,833.6,문학 > 일본문학 > 소설,98,https://bookthumb-phinf.pstatic.net/cover/000/203/00020349.jpg?type=m1&udate=20120904,https://data4library.kr/bookV?seq=863463
133,134,133,내가 원하는 것을 나도 모를 때 :잃어버린 나를 찾는 인생의 문장들 ,전승환 지음,다산북스,2020,9791130627878,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,98,https://image.aladin.co.kr/product/22508/4/cover/k182636731_1.jpg,https://data4library.kr/bookV?seq=5574673
134,135,133,지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ,채사장 지음,Whale Books(웨일북),2019,9791190313131,03100,,001.3,"총류 > 총류 > 지식, 학문 일반",98,https://image.aladin.co.kr/product/21984/15/cover/k622636607_2.jpg,https://data4library.kr/bookV?seq=5534696
135,136,136,시작의 기술 :침대에 누워서 걱정만 하는 게으른 완벽주의자를 위한 7가지 무기 ,개리 비숍 지음 ;이지연 옮김,웅진씽크빅,2019,9788901230658,03320,,189.1,철학 > 심리학 > 응용심리학 일반,97,https://image.aladin.co.kr/product/18936/5/cover/8901230658_1.jpg,https://data4library.kr/bookV?seq=5397271
136,137,136,인생은 소설이다 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2020,9788984374164,03860,,863,문학 > 프랑스문학 > 소설,97,https://image.aladin.co.kr/product/25594/44/cover/8984374164_1.jpg,https://data4library.kr/bookV?seq=5808578
137,138,136,"나는 무조건 합격하는 공부만 한다 :26살, 9개월 만에 사법시험을 패스한 이윤규 변호사의 패턴 공부법 ",이윤규 지음,비즈니스북스,2019,9791162541210,03190,,373.4,"사회과학 > 교육학 > 학습지도, 교육방법",97,https://image.aladin.co.kr/product/22064/21/cover/k162636917_1.jpg,https://data4library.kr/bookV?seq=5543657
138,139,139,도시는 무엇으로 사는가 :도시를 보는 열다섯 가지 인문적 시선 ,유현준 지음,을유문화사,2015,9788932472959,03540,,331.47,"사회과학 > 사회학, 사회문제 > 사회학",96,http://image.aladin.co.kr/product/5518/24/cover/8932472955_1.jpg,https://data4library.kr/bookV?seq=2620467
